,tree size,count of 0 false positives,Percent of 0 false positives
0,10,869,0.1738
1,20,857,0.1714
2,30,531,0.1062
3,40,764,0.1528
4,50,899,0.1798
5,60,986,0.1972
6,70,677,0.1354
7,80,773,0.1546
8,90,629,0.1258
9,100,588,0.1176
10,110,511,0.1022
11,120,519,0.1038
12,130,580,0.116
13,140,581,0.1162
14,150,601,0.1202
15,160,664,0.1328
16,170,673,0.1346
17,180,558,0.1116
18,190,506,0.1012
19,200,532,0.1064
20,210,465,0.093
21,220,569,0.1138
22,230,592,0.1184
23,240,577,0.1154
24,250,545,0.109
25,260,530,0.106
26,270,640,0.128
27,280,774,0.1548
28,290,690,0.138
29,300,730,0.146
30,310,763,0.1526
31,320,621,0.1242
32,330,667,0.1334
33,340,767,0.1534
34,350,687,0.1374
35,360,795,0.159
36,370,820,0.164
37,380,771,0.1542
38,390,704,0.1408
39,400,686,0.1372
40,410,803,0.1606
41,420,724,0.1448
42,430,673,0.1346
43,440,853,0.1706
44,450,779,0.1558
45,460,763,0.1526
46,470,668,0.1336
47,480,818,0.1636
48,490,780,0.156
49,500,771,0.1542
50,510,656,0.1312
51,520,722,0.1444
52,530,806,0.1612
53,540,731,0.1462
54,550,691,0.1382
55,560,754,0.1508
56,570,703,0.1406
57,580,738,0.1476
58,590,712,0.1424
59,600,717,0.1434
60,610,676,0.1352
61,620,854,0.1708
62,630,654,0.1308
63,640,738,0.1476
64,650,720,0.144
65,660,793,0.1586
66,670,730,0.146
67,680,740,0.148
68,690,595,0.119
69,700,669,0.1338
70,710,703,0.1406
71,720,738,0.1476
72,730,710,0.142
73,740,743,0.1486
74,750,747,0.1494
75,760,673,0.1346
76,770,611,0.1222
77,780,670,0.134
78,790,645,0.129
79,800,644,0.1288
80,810,574,0.1148
81,820,692,0.1384
82,830,665,0.133
83,840,735,0.147
84,850,649,0.1298
85,860,694,0.1388
86,870,632,0.1264
87,880,712,0.1424
88,890,773,0.1546
89,900,747,0.1494
90,910,665,0.133
91,920,677,0.1354
92,930,677,0.1354
93,940,648,0.1296
94,950,778,0.1556
95,960,655,0.131
96,970,628,0.1256
97,980,635,0.127
98,990,722,0.1444
99,1000,605,0.121
