,tree size,count of 0 false positives,Percent of 0 false positives
0,10,4161,0.8322
1,20,4589,0.9178
2,30,4254,0.8508
3,40,4750,0.95
4,50,4524,0.9048
5,60,4744,0.9488
6,70,4686,0.9372
7,80,4823,0.9646
8,90,4791,0.9582
9,100,4849,0.9698
10,110,4840,0.968
11,120,4840,0.968
12,130,4838,0.9676
13,140,4871,0.9742
14,150,4875,0.975
15,160,4849,0.9698
16,170,4903,0.9806
17,180,4885,0.977
18,190,4883,0.9766
19,200,4921,0.9842
20,210,4924,0.9848
21,220,4877,0.9754
22,230,4951,0.9902
23,240,4923,0.9846
24,250,4930,0.986
25,260,4895,0.979
26,270,4939,0.9878
27,280,4930,0.986
28,290,4907,0.9814
29,300,4942,0.9884
30,310,4920,0.984
31,320,4931,0.9862
32,330,4905,0.981
33,340,4955,0.991
34,350,4929,0.9858
35,360,4920,0.984
36,370,4925,0.985
37,380,4956,0.9912
38,390,4930,0.986
39,400,4929,0.9858
40,410,4949,0.9898
41,420,4950,0.99
42,430,4944,0.9888
43,440,4920,0.984
44,450,4927,0.9854
45,460,4952,0.9904
46,470,4940,0.988
47,480,4954,0.9908
48,490,4935,0.987
49,500,4952,0.9904
50,510,4961,0.9922
51,520,4953,0.9906
52,530,4941,0.9882
53,540,4952,0.9904
54,550,4954,0.9908
55,560,4949,0.9898
56,570,4938,0.9876
57,580,4948,0.9896
58,590,4961,0.9922
59,600,4952,0.9904
60,610,4949,0.9898
61,620,4955,0.991
62,630,4974,0.9948
63,640,4953,0.9906
64,650,4964,0.9928
65,660,4943,0.9886
66,670,4959,0.9918
67,680,4963,0.9926
68,690,4947,0.9894
69,700,4951,0.9902
70,710,4955,0.991
71,720,4964,0.9928
72,730,4968,0.9936
73,740,4960,0.992
74,750,4950,0.99
75,760,4961,0.9922
76,770,4965,0.993
77,780,4969,0.9938
78,790,4962,0.9924
79,800,4955,0.991
80,810,4970,0.994
81,820,4964,0.9928
82,830,4958,0.9916
83,840,4952,0.9904
84,850,4966,0.9932
85,860,4969,0.9938
86,870,4965,0.993
87,880,4957,0.9914
88,890,4962,0.9924
89,900,4961,0.9922
90,910,4972,0.9944
91,920,4968,0.9936
92,930,4961,0.9922
93,940,4959,0.9918
94,950,4974,0.9948
95,960,4949,0.9898
96,970,4973,0.9946
97,980,4952,0.9904
98,990,4965,0.993
99,1000,4965,0.993
