,tree size,count of 0 false positives,Percent of 0 false positives
0,10,1933,0.3866
1,20,1896,0.3792
2,30,3499,0.6998
3,40,3371,0.6742
4,50,3474,0.6948
5,60,3748,0.7496
6,70,3192,0.6384
7,80,4027,0.8054
8,90,3994,0.7988
9,100,3512,0.7024
10,110,4260,0.852
11,120,3936,0.7872
12,130,3852,0.7704
13,140,3760,0.752
14,150,4147,0.8294
15,160,3993,0.7986
16,170,3847,0.7694
17,180,4255,0.851
18,190,4045,0.809
19,200,4098,0.8196
20,210,3810,0.762
21,220,4415,0.883
22,230,4150,0.83
23,240,4155,0.831
24,250,4070,0.814
25,260,4198,0.8396
26,270,4337,0.8674
27,280,4073,0.8146
28,290,4212,0.8424
29,300,4288,0.8576
30,310,4231,0.8462
31,320,4257,0.8514
32,330,4053,0.8106
33,340,4321,0.8642
34,350,4292,0.8584
35,360,4259,0.8518
36,370,4272,0.8544
37,380,4163,0.8326
38,390,4383,0.8766
39,400,4326,0.8652
40,410,4291,0.8582
41,420,4234,0.8468
42,430,4300,0.86
43,440,4396,0.8792
44,450,4322,0.8644
45,460,4234,0.8468
46,470,4211,0.8422
47,480,4361,0.8722
48,490,4406,0.8812
49,500,4370,0.874
50,510,4235,0.847
51,520,4361,0.8722
52,530,4385,0.877
53,540,4333,0.8666
54,550,4363,0.8726
55,560,4297,0.8594
56,570,4347,0.8694
57,580,4443,0.8886
58,590,4357,0.8714
59,600,4363,0.8726
60,610,4286,0.8572
61,620,4313,0.8626
62,630,4476,0.8952
63,640,4345,0.869
64,650,4295,0.859
65,660,4319,0.8638
66,670,4351,0.8702
67,680,4489,0.8978
68,690,4384,0.8768
69,700,4289,0.8578
70,710,4327,0.8654
71,720,4375,0.875
72,730,4380,0.876
73,740,4447,0.8894
74,750,4343,0.8686
75,760,4331,0.8662
76,770,4435,0.887
77,780,4395,0.879
78,790,4425,0.885
79,800,4378,0.8756
80,810,4293,0.8586
81,820,4369,0.8738
82,830,4408,0.8816
83,840,4371,0.8742
84,850,4397,0.8794
85,860,4374,0.8748
86,870,4358,0.8716
87,880,4510,0.902
88,890,4413,0.8826
89,900,4379,0.8758
90,910,4385,0.877
91,920,4361,0.8722
92,930,4449,0.8898
93,940,4435,0.887
94,950,4336,0.8672
95,960,4352,0.8704
96,970,4354,0.8708
97,980,4396,0.8792
98,990,4450,0.89
99,1000,4438,0.8876
