,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,44.0,49.0,47.0,52.0,49.0,53.0,49.0,49.0,54.0,50.0,56.0,42.0,57.0,51.0,48.0,50.0,53.0,48.0,47.0,48.0,56.0,45.0,50.0,49.0,50.0,49.0,50.0,50.0,47.0,55.0,44.0,41.0,56.0,55.0,39.0,46.0,58.0,46.0,50.0,48.0,58.0,62.0,47.0,45.0,52.0,45.0,48.0,52.0,55.0,52.0,51.0,42.0,53.0,53.0,47.0,49.0,51.0,46.0,56.0,42.0,52.0,54.0,47.0,45.0,46.0,50.0,54.0,51.0,47.0,51.0,56.0,50.0,47.0,56.0,50.0,49.0,46.0,50.0,52.0,54.0,46.0,52.0,54.0,51.0,59.0,47.0,51.0,44.0,35.0,53.0,44.0,51.0,48.0,46.0,45.0,49.0,56.0,43.0,52.0,49.0,63.0
1,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0
4,24.0,17.0,17.0,15.0,19.0,20.0,21.0,21.0,16.0,8.0,13.0,29.0,13.0,18.0,22.0,20.0,12.0,21.0,18.0,18.0,21.0,14.0,14.0,17.0,19.0,18.0,22.0,18.0,12.0,12.0,15.0,22.0,11.0,17.0,19.0,17.0,12.0,13.0,19.0,21.0,15.0,8.0,15.0,14.0,15.0,19.0,19.0,16.0,13.0,14.0,10.0,20.0,11.0,18.0,21.0,17.0,19.0,21.0,20.0,19.0,17.0,15.0,28.0,21.0,14.0,21.0,18.0,9.0,23.0,15.0,14.0,15.0,21.0,17.0,13.0,19.0,19.0,22.0,15.0,19.0,13.0,21.0,15.0,15.0,13.0,24.0,16.0,18.0,26.0,14.0,19.0,18.0,15.0,15.0,19.0,21.0,10.0,16.0,19.0,12.0,10.0
5,7.0,4.0,6.0,5.0,2.0,2.0,5.0,3.0,2.0,7.0,4.0,5.0,4.0,1.0,5.0,4.0,8.0,3.0,3.0,7.0,4.0,5.0,5.0,0.0,6.0,4.0,4.0,4.0,4.0,6.0,3.0,6.0,3.0,3.0,4.0,6.0,2.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,1.0,3.0,7.0,3.0,2.0,4.0,4.0,0.0,3.0,6.0,2.0,6.0,3.0,3.0,6.0,4.0,5.0,5.0,1.0,3.0,3.0,2.0,3.0,5.0,2.0,4.0,1.0,8.0,2.0,4.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,3.0,6.0,3.0,2.0,2.0,6.0,4.0,8.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0
6,17.0,20.0,12.0,17.0,14.0,14.0,13.0,19.0,11.0,14.0,11.0,12.0,19.0,12.0,14.0,9.0,9.0,14.0,8.0,17.0,10.0,19.0,21.0,13.0,12.0,13.0,19.0,13.0,16.0,13.0,18.0,23.0,12.0,17.0,20.0,12.0,15.0,19.0,13.0,13.0,13.0,7.0,11.0,23.0,14.0,17.0,12.0,15.0,16.0,20.0,17.0,16.0,14.0,13.0,19.0,16.0,17.0,14.0,9.0,8.0,13.0,12.0,10.0,9.0,16.0,8.0,11.0,11.0,17.0,11.0,12.0,15.0,8.0,17.0,15.0,10.0,18.0,15.0,15.0,12.0,23.0,14.0,14.0,18.0,11.0,12.0,18.0,11.0,18.0,13.0,15.0,14.0,19.0,14.0,16.0,17.0,11.0,14.0,8.0,20.0,9.0
7,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,1.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,6.0,2.0,2.0,1.0,3.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,3.0,3.0,2.0,3.0,5.0,2.0,6.0,3.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,7.0,6.0,2.0,3.0
8,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
9,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0
